baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,countChange,ensg
266.588501019356,-2.7706939594043,0.35067332340225,8.33145719702443e-13,6.80513423852955e-09,SAMD4A,-227.524257183487,ENSG00000020577
3915.77492477265,-1.6896730493706,0.226770431209928,5.16717709948914e-13,6.80513423852955e-09,GBP4,-2701.89577932647,ENSG00000162654
5912.70175472782,-3.3133877770613,0.578890094842649,1.43890344074608e-11,7.83530886934263e-08,OAS3,-5317.92105848121,ENSG00000111331
208.714748712976,1.83953482117172,0.333230831386296,6.96516741391847e-10,1.721414458152e-06,TSPAN9,538.264089625407,ENSG00000011105
61.0597332180268,-2.01116217328294,0.331610701747315,5.59641441270485e-10,1.721414458152e-06,UPK3A,-45.9124494285226,ENSG00000100373
349.957767768014,-2.22177607637211,0.337352548527903,7.37628624330556e-10,1.721414458152e-06,RTP4,-274.934773220697,ENSG00000136514
1357.03925276079,0.00328413429653132,0.146917963998511,6.76270705086211e-10,1.721414458152e-06,NA,3.09266717200512,ENSG00000231825
391.145026338398,-3.54132578677019,0.574234069234413,1.58687160367441e-09,2.88034827973614e-06,MSR1,-357.54864314834,ENSG00000038945
1855.78845473552,-1.34857944480232,0.221182637926929,1.51927766647415e-09,2.88034827973614e-06,GCH1,-1127.06020750367,ENSG00000131979
165.739926580511,-2.00766796260822,0.31758715363125,2.54299116394676e-09,3.24887387950755e-06,TTC21A,-124.524588744169,ENSG00000168026
655.820651550719,-2.61435899370989,0.927049600390821,2.58541628511252e-09,3.24887387950755e-06,NA,-548.721849819223,ENSG00000206395
7527.40813855111,-1.61403258797398,2.71058456157777,2.16773664073548e-09,3.24887387950755e-06,NA,-5068.32483376431,ENSG00000224103
52.3261059113354,-0.00876014351203039,0.147257104582033,2.54790362535518e-09,3.24887387950755e-06,NA,-0.316765031120681,ENSG00000233935
4397.88593528652,0.00280337128724701,0.146906905869929,2.93917076551235e-09,3.42959240181498e-06,NA,8.55405544444511,ENSG00000235657
541.953649543773,-1.07173740309666,0.186999429016029,4.07234372101449e-09,3.69587816813849e-06,VRK2,-284.121517779606,ENSG00000028116
1690.78545096345,-0.862165774049398,0.154970153960727,3.90259005399154e-09,3.69587816813849e-06,SH3TC1,-760.640264561035,ENSG00000125089
331.559537543915,-3.09400241044123,0.479063233650116,4.02000739542009e-09,3.69587816813849e-06,AGRN,-292.728947216753,ENSG00000188157
214.204294193605,-0.930604338692127,0.171169341846409,3.54150423505776e-09,3.69587816813849e-06,PPP1R26,-101.824468816645,ENSG00000196422
2230.50943289339,-1.22071855530975,0.204665610942143,4.67363224992402e-09,3.91663583664838e-06,WDFY1,-1273.4670681639,ENSG00000085449
959.354969977718,-2.55032940704835,0.405765484748747,4.79509774320321e-09,3.91663583664838e-06,MT2A,-795.577680428835,ENSG00000125148
1637.85792138974,-1.03303456201927,0.175277515428721,5.67636025025782e-09,4.41566766896246e-06,SP140,-837.467586338715,ENSG00000079263
164.610557447698,-3.68013054288113,0.571901119102386,9.17968193321172e-09,6.81633109367939e-06,CXCL10,-151.768695280837,ENSG00000169245
3083.46883838371,-1.48679547763958,0.25200501367007,9.91263175320153e-09,6.85859272285012e-06,PLAC8,-1983.27419126167,ENSG00000145287
3094.38105544283,-0.49111094458084,0.0893687346764845,1.00762870560971e-08,6.85859272285012e-06,MIA3,-892.800057995841,ENSG00000154305
102.657809538787,-1.18841271068635,0.221224939652863,1.16034107647763e-08,7.58213273013543e-06,CDK18,-57.6130658440816,ENSG00000117266
1913.02131988567,-0.861101217691909,0.155400405667922,1.23293721947468e-08,7.74663939128401e-06,CUL1,-859.841535575924,ENSG00000055130
85.7118183557424,-2.55600589862368,0.443261031699372,1.41644059541642e-08,8.26391913097238e-06,ATF3,-71.13689552237,ENSG00000162772
132.260610827973,0.00421300098352787,0.146960802509795,1.39149582658961e-08,8.26391913097238e-06,NA,0.386795862464965,ENSG00000206280
7880.98632033053,-1.44094230455066,0.259058960229684,1.55471693430212e-08,8.75788132371018e-06,GBP5,-4978.20902181867,ENSG00000154451
