,10_40039_S11_R1_001.expression,10_90002_mor_det_45776883_R1.expression,1_10115_88_S4_R1_001.expression,11_10102_mor_det_45794778_R1.expression,11_40044_S12_R1_001.expression,12_20042_eve_det_45788807_R1.expression,12_40035_S13_R1_001.expression,13_10119_94_S14_R1_001.expression,13_90006_eve_det_45796767_R1.expression,14_10104_eve_det_45791770_R1.expression,14_40003_S15_R1_001.expression,15_40047_S16_R1_001.expression,15_Control_blood_9_45784879_R1.expression,16_10103_I1_R1.expression,16_Control_blood_11_45796768_R1.expression,1_70008_mor_imp_45790779_R2.expression,17_10108_I2_R1.expression,17_Control_blood_12_45792774_R1.expression,18_10136_I3_R1.expression,18_Control_blood_13_45786842_R1.expression,19_10141_I4_R1.expression,19_Control_blood_14_45759905_R1.expression,20_10155_I5_R1.expression,20_Control_blood_15_45793787_R1.expression,2_10131_83_S5_R1_001.expression,21_10181_I6_R1.expression,21_Control_blood_16_45775870_R1.expression,22_10100_D1_R1.expression,22_Control_blood_17_45792776_R1.expression,23_10116_D2_R1.expression,23_Control_blood_18_45794783_R1.expression,2_40058_mor_imp_45775868_R1.expression,24_10145_D3_R1.expression,24_Control_blood_19_45793789_R1.expression,25_10146_D4_R1.expression,26_10156_D5_R1.expression,27_30057_D6_R1.expression,3_10166_mor_imp_45795773_R1.expression,3_10189_45_S6_R1_001.expression,4_10177_eve_imp_45795771_R1.expression,4_90003_S7_R1_001.expression,5_10171_eve_imp_45788808_R1.expression,5_40026_S8_R1_001.expression,6_30065_S9_R1_001.expression,6_40049_eve_imp_45790782_R1.expression,7_30040_mor_det_45785850_R1.expression,8_60004_mor_det_45796771_R1.expression,9_30053_mor_det_45787820_R1.expression,9_30074_50_S10_R1_001.expression
hsa-miR-6759-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
hsa-miR-924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6508-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6508-3p,1,1,1,1,0,0,1,0,1,0,4,1,3,0,3,0,0,2,0,0,0,4,0,5,1,0,2,0,4,1,4,0,2,4,1,0,1,1,0,2,1,2,0,0,1,1,2,1,2
hsa-miR-6872-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6872-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-188-5p,0,0,1,1,1,3,0,1,2,1,5,0,3,0,2,0,1,1,0,1,0,3,0,4,0,3,2,1,2,0,2,0,2,4,1,2,0,5,0,0,0,4,0,0,0,5,2,0,2
hsa-miR-188-3p,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-490-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
hsa-miR-490-3p,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,0,0,0,2,1,0,0,0,1,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
hsa-miR-569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6748-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hsa-miR-6748-3p,2,0,0,3,0,5,1,0,2,3,0,1,4,2,1,0,0,4,1,5,1,2,0,2,1,1,1,0,3,1,1,0,0,2,0,0,0,3,1,4,4,7,2,2,2,1,4,0,1
hsa-miR-4728-5p,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4728-3p,10,1,3,3,4,8,13,4,9,5,1,6,6,1,2,0,0,2,2,2,0,0,3,2,1,4,2,1,5,0,4,3,1,2,2,2,1,8,5,6,4,9,2,5,6,5,8,0,1
hsa-miR-1251-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1251-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1276,5,4,2,2,0,1,6,1,1,0,1,1,3,2,6,0,3,1,1,2,1,7,0,6,2,0,12,2,12,2,11,1,3,6,2,2,2,1,0,6,3,7,4,2,1,7,2,2,1
hsa-miR-1199-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1199-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-628-5p,11,1,3,8,2,4,13,4,8,11,8,6,31,2,18,0,2,32,5,14,2,28,2,23,7,4,39,0,28,1,13,3,2,21,4,4,3,2,9,7,7,9,5,4,10,9,6,10,4
hsa-miR-628-3p,20,2,21,31,5,12,26,27,9,28,12,13,38,25,33,0,30,56,8,37,5,40,14,39,28,15,63,7,53,19,46,15,16,27,16,17,20,19,22,33,18,45,18,9,16,28,19,15,17
hsa-miR-654-5p,27,22,21,18,7,4,15,19,7,12,4,10,11,2,10,0,0,10,4,44,3,9,2,30,35,3,61,4,29,4,9,5,4,22,0,2,4,6,9,8,4,3,20,26,12,7,1,29,14
hsa-miR-654-3p,8,11,15,22,1,3,8,9,8,16,1,8,90,5,35,0,9,51,0,165,6,44,10,143,22,2,213,5,116,8,58,7,5,54,2,1,15,10,10,6,4,5,6,3,12,5,1,47,6
hsa-miR-1254,165,120,148,310,60,215,362,217,155,151,141,122,249,65,189,0,105,162,52,315,36,213,88,235,230,37,248,44,316,56,303,149,57,181,66,49,40,262,197,275,203,390,157,189,215,245,199,204,152
hsa-miR-187-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
hsa-miR-187-3p,0,0,0,0,1,0,0,0,0,0,0,0,2,4,0,0,3,0,5,0,3,1,1,0,0,3,0,1,1,0,0,0,2,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
hsa-miR-653-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-653-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-514a-3p,1,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,5,0,2,0,3,1,0,6,0,2,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
hsa-miR-514a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4731-5p,8,5,6,5,0,7,7,2,3,4,3,1,11,1,4,0,5,1,2,10,1,2,1,5,5,3,7,2,4,1,7,5,3,4,2,1,1,12,4,9,4,14,2,6,2,14,6,2,1
hsa-miR-4731-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
hsa-miR-6734-5p,159,104,95,142,58,126,231,93,104,87,77,72,82,56,39,0,58,74,32,123,16,135,24,77,90,32,124,17,207,30,78,87,31,69,34,49,28,145,105,116,105,189,135,139,133,138,170,193,89
hsa-miR-6734-3p,25,14,20,43,6,38,28,19,44,49,20,20,45,6,18,0,18,31,17,32,10,53,10,70,22,11,55,3,65,18,51,34,8,27,7,14,10,41,21,64,20,65,18,20,33,32,26,25,19
hsa-miR-4737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-138-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,1,12,0,10,0,0,14,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-138-1-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-873-5p,0,0,0,1,0,0,0,0,0,0,0,3,4,1,3,0,0,3,1,3,2,5,6,4,2,4,8,1,4,0,6,2,0,9,8,3,0,3,0,2,3,0,2,0,0,0,1,0,0
hsa-miR-873-3p,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,1,0,0,3,0,3,1,0,0,0,0,0,3,0,1,1,0,4,0,0,0,4,0,0,2,0,0,0,0,0,2,2,1
hsa-miR-548f-3p,0,0,3,0,0,0,0,1,0,0,2,0,3,0,4,0,0,3,0,5,0,1,1,3,0,0,8,1,6,0,1,0,0,4,1,0,0,0,0,0,1,3,0,0,1,1,0,1,2
hsa-miR-3189-3p,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
hsa-miR-3189-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-548o-3p,158,43,157,172,32,104,151,151,107,122,155,93,673,112,468,0,74,524,54,550,46,497,85,638,142,67,753,30,694,74,576,110,61,419,60,46,43,92,150,187,121,167,171,109,145,101,106,171,106
hsa-miR-1278,26,6,15,19,4,13,19,33,8,13,5,20,74,7,111,0,10,77,7,55,5,64,3,65,11,6,91,7,64,6,56,9,6,43,8,2,4,2,1,21,18,16,6,3,13,10,4,10,5
hsa-miR-1185-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1185-1-3p,0,0,1,1,0,0,2,0,0,0,1,0,5,1,0,0,1,1,0,7,3,1,0,8,2,0,5,0,5,2,0,1,0,1,2,0,1,0,0,1,0,0,0,0,4,0,0,2,0
hsa-miR-498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-222-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
hsa-miR-222-3p,1403,336,970,773,163,509,992,1227,575,750,1284,888,4747,268,3301,0,466,2344,227,2133,241,2751,539,3777,897,270,3367,214,4229,508,3071,593,166,2825,310,289,384,707,1077,1001,967,996,1039,1078,630,578,612,382,703
hsa-miR-6854-5p,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
hsa-miR-6854-3p,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
hsa-miR-603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-5581-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-5581-3p,2,1,0,6,0,0,4,0,1,3,1,0,3,0,8,0,4,4,1,10,0,2,2,5,5,3,8,0,5,0,5,0,5,3,2,0,0,0,1,1,1,1,0,0,4,0,1,3,0
hsa-miR-212-3p,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
hsa-miR-212-5p,4,12,8,5,5,4,9,13,12,9,5,14,22,2,36,0,3,16,11,14,11,20,13,36,12,12,26,2,26,3,14,7,6,24,2,1,8,10,3,6,6,13,13,8,9,8,10,11,7
hsa-miR-3201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-184,21,0,19,28,17,17,46,107,25,22,29,23,87,12,70,0,6,92,11,36,10,52,14,68,64,1,54,0,27,12,48,19,7,49,5,5,9,10,28,53,28,21,21,33,39,23,11,41,21
hsa-miR-6808-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6808-3p,10,4,12,17,2,14,8,4,8,5,12,5,9,2,9,0,1,11,2,11,1,18,4,6,19,2,9,2,17,4,15,11,2,14,0,2,5,13,12,23,5,13,11,12,7,23,13,8,11
hsa-miR-1468-5p,78,53,97,123,20,79,129,126,127,104,118,85,307,51,260,0,31,201,30,244,15,150,48,360,106,37,318,22,221,37,260,68,31,200,22,26,44,114,73,183,114,168,131,114,105,109,112,95,119
hsa-miR-1468-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-193b-5p,2,2,1,1,3,0,1,1,0,0,3,1,0,0,1,0,0,2,0,2,1,0,0,1,3,0,1,2,0,0,0,1,0,0,0,0,1,3,1,2,2,1,0,2,0,1,3,2,1
hsa-miR-193b-3p,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,2,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,0
hsa-miR-2276-3p,14,6,10,9,1,3,23,9,5,5,10,3,10,4,15,0,3,4,2,10,0,11,6,11,4,4,17,0,13,2,20,8,6,6,3,8,1,7,14,12,11,17,12,20,17,15,9,12,12
hsa-miR-2276-5p,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
hsa-miR-548h-5p,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
hsa-miR-548h-3p,8,1,10,15,0,0,6,4,8,4,1,2,0,0,9,2,0,0,4,14,3,6,4,20,4,4,2,4,18,4,7,2,8,14,0,9,5,8,8,2,0,21,10,8,10,16,6,0,3
hsa-miR-6516-5p,3,2,4,5,1,2,2,2,0,6,2,4,17,3,12,0,0,15,2,10,2,22,3,8,10,2,19,2,16,1,12,3,0,8,2,2,4,8,2,4,6,17,3,2,10,9,9,4,14
hsa-miR-6516-3p,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hsa-miR-6804-5p,4,3,0,7,3,3,5,3,1,5,3,4,6,4,3,0,4,3,3,4,0,4,1,1,4,1,4,1,4,4,4,8,2,4,0,4,0,8,6,3,4,7,2,3,2,5,9,0,5
hsa-miR-6804-3p,0,4,5,5,3,2,4,5,5,3,1,0,2,2,6,0,3,2,1,0,0,3,1,1,2,1,3,1,2,1,3,2,2,1,0,1,1,6,0,6,1,3,0,4,5,9,5,7,1
hsa-miR-299-5p,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-299-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1299,5,1,107,3,22,130,1,78,274,150,1028,134,658,15,297,0,12,363,17,5,5,21,10,147,89,29,7,8,106,17,387,17,722,48,24,0,0,3,6,19,1,1,64,151,38,53,62,7,45
hsa-let-7a-5p,416000,80774,411853,319286,99559,191050,428685,453097,368258,265913,312823,307500,739558,142225,649679,0,121440,593747,101027,629885,66851,744582,98668,611726,507908,119578,975724,91402,750165,133102,653529,244798,117241,555172,151515,55356,113309,194094,309152,368504,358029,421682,344838,301157,204275,222348,253553,199621,313546
hsa-let-7a-3p,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,6,0,2,0,2,2,0,4,0,1,0,3,0,0,2,0,5,1,2,0,0,0,0,0,0,2,0,0,0,0,0
hsa-miR-3682-3p,16,6,6,22,4,10,12,9,7,12,6,7,16,8,18,0,1,13,5,17,1,18,3,28,17,3,21,1,21,2,12,13,5,14,4,6,5,14,7,13,10,19,14,15,12,13,12,9,10
hsa-miR-3682-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3661,3,2,2,3,0,2,2,5,1,1,0,4,2,0,2,0,0,2,0,9,1,7,0,3,2,2,4,0,4,5,6,1,2,1,2,3,0,3,4,1,3,2,4,2,2,0,1,1,3
hsa-miR-17-5p,655,310,434,1836,136,775,787,543,616,855,388,342,4265,711,4111,0,967,5069,7409,3793,438,5321,548,2919,750,499,5845,294,6193,620,5147,644,803,3885,800,1166,522,979,600,950,777,2359,499,410,1126,1256,766,1048,540
hsa-miR-17-3p,15,8,7,18,9,20,19,11,16,12,10,14,40,19,44,0,28,51,17,32,19,42,30,36,7,26,59,16,40,16,35,17,24,34,16,37,21,23,11,21,14,33,21,10,19,18,10,22,7
